relation	kind	ordinal	column	type	upstream table	derivation	sample values	description	null meaning
sample_section_us_intro_fall2025	view	17	department	varchar	master_section	Inherited `master_section.department` via `SELECT *`.	Biology	Academic department responsible for the course.	No source value
sample_section_us_intro_fall2025	view	18	course_number	varchar	master_section	Inherited `master_section.course_number` via `SELECT *`.	101	Catalog number identifying the course within its department.	No source value
sample_section_us_intro_fall2025	view	19	section	varchar	master_section	Inherited `master_section.section` via `SELECT *`.	001	Source code distinguishing sections of the same course.	No source value
sample_section_us_intro_fall2025	view	20	course_title	varchar	master_section	Inherited `master_section.course_title` via `SELECT *`.	Introduction to Biology	Official title assigned to the course.	No source value
sample_section_us_intro_fall2025	view	21	course_level	varchar	master_section	Inherited `master_section.course_level` via `SELECT *`.	Introductory or general undergraduate	Instructional level assigned to the course.	Never NULL; required by the sample filter.
sample_section_us_intro_fall2025	view	22	course_subject	varchar	master_section	Inherited `master_section.course_subject` via `SELECT *`.	BIO	Subject area assigned to the course.	No source value
sample_section_us_intro_fall2025	view	23	material_count	bigint	master_section	Inherited `master_section.material_count` via `SELECT *`.	42	Canonical course-material items within the section.	Never NULL/zero
sample_section_us_intro_fall2025	view	24	required_count	bigint	master_section	Inherited `master_section.required_count` via `SELECT *`.	42	Required materials within the canonical section.	Never NULL; the sample filter requires `required_count >= 1`.
sample_section_us_intro_fall2025	view	25	optional_count	bigint	master_section	Inherited `master_section.optional_count` via `SELECT *`.	42	Optional or recommended materials within the section.	Zero means none
sample_section_us_intro_fall2025	view	26	has_course_material_use	boolean	master_section	Inherited `master_section.has_course_material_use` via `SELECT *`.	TRUE	Whether the section contains retained canonical materials.	Never false
sample_section_us_intro_fall2025	view	27	course_material_use_count	bigint	master_section	Inherited `master_section.course_material_use_count` via `SELECT *`.	42	Canonical included materials within the retained section.	Never zero
sample_section_us_intro_fall2025	view	28	course_material_no_use_count	bigint	master_section	Inherited `master_section.course_material_no_use_count` via `SELECT *`.	42	Excluded material rows co-occurring with retained sections.	Zero means none
sample_section_us_intro_fall2025	view	29	no_details_count	bigint	master_section	Inherited `master_section.no_details_count` via `SELECT *`.	42	No-details placeholder rows co-occurring with retained sections.	Zero means marker absent
sample_section_us_intro_fall2025	view	30	no_materials_count	bigint	master_section	Inherited `master_section.no_materials_count` via `SELECT *`.	42	No-materials placeholder rows co-occurring with retained sections.	Zero means marker absent
sample_section_us_intro_fall2025	view	31	is_canada	boolean	master_section	Inherited `master_section.is_canada` via `SELECT *`.	TRUE	Whether the source row belongs to Canada.	False means no Canadian item
sample_section_us_intro_fall2025	view	32	is_supply	boolean	master_section	Inherited `master_section.is_supply` via `SELECT *`.	TRUE	Whether the material is classified as a course supply.	False means no supply item
sample_section_us_intro_fall2025	view	33	supply_count	bigint	master_section	Inherited `master_section.supply_count` via `SELECT *`.	42	Classified supply rows co-occurring with retained sections.	Zero means none
sample_section_us_intro_fall2025	view	34	is_oer	boolean	master_section	Inherited `master_section.is_oer` via `SELECT *`.	TRUE	Whether the material is an open educational resource.	False means no classified OER
sample_section_us_intro_fall2025	view	35	is_ia	boolean	master_section	Inherited `master_section.is_ia` via `SELECT *`.	TRUE	Whether the material uses inclusive access.	False means no classified IA
sample_section_us_intro_fall2025	view	36	oer_count	bigint	master_section	Inherited `master_section.oer_count` via `SELECT *`.	42	Open-resource materials within the aggregation group.	Zero means none
sample_section_us_intro_fall2025	view	37	ia_count	bigint	master_section	Inherited `master_section.ia_count` via `SELECT *`.	42	Inclusive-access materials within the aggregation group.	Zero means none
sample_section_us_intro_fall2025	view	38	publishers	varchar[]	master_section	Inherited `master_section.publishers` via `SELECT *`.	['alpha', 'beta']	Distinct publishers represented by the section materials.	No item publisher
sample_section_us_intro_fall2025	view	39	required_publishers	varchar[]	master_section	Inherited `master_section.required_publishers` via `SELECT *`.	['alpha', 'beta']	Distinct publishers of required materials within the section.	No required publisher
sample_section_us_intro_fall2025	view	40	required_publisher_count	bigint	master_section	Inherited `master_section.required_publisher_count` via `SELECT *`.	42	Distinct publishers of required materials within the section.	Zero means none
sample_section_us_intro_fall2025	view	41	optional_publisher_count	bigint	master_section	Inherited `master_section.optional_publisher_count` via `SELECT *`.	42	Distinct publishers of optional materials within the section.	Zero means none
sample_section_us_intro_fall2025	view	42	enrollments	integer	master_section	Inherited `master_section.enrollments` via `SELECT *`.	42	Enrollment reported directly for the course section.	Unavailable
sample_section_us_intro_fall2025	view	43	seats_taken	integer	master_section	Inherited `master_section.seats_taken` via `SELECT *`.	42	Occupied seats reported for the course section.	Unavailable
sample_section_us_intro_fall2025	view	44	has_isbn	boolean	master_section	Inherited `master_section.has_isbn` via `SELECT *`.	TRUE	Whether the material has a non-NULL ISBN.	True under current Use contract
sample_section_us_intro_fall2025	view	45	has_formattype	boolean	master_section	Inherited `master_section.has_formattype` via `SELECT *`.	TRUE	Whether the material has a nonblank FormatType classification.	False means no nonblank FormatType
sample_section_us_intro_fall2025	view	46	isbn_count	bigint	master_section	Inherited `master_section.isbn_count` via `SELECT *`.	42	ISBN-bearing materials within the aggregation group.	Never zero
sample_section_us_intro_fall2025	view	47	classified_count	bigint	master_section	Inherited `master_section.classified_count` via `SELECT *`.	42	Materials having a nonblank FormatType classification.	Zero means none
sample_section_us_intro_fall2025	view	48	has_enrollment	boolean	master_section	Inherited `master_section.has_enrollment` via `SELECT *`.	TRUE	Whether usable enrollment information is available.	Never NULL
sample_section_us_intro_fall2025	view	49	has_enrollment_sibling	boolean	master_section	Inherited `master_section.has_enrollment_sibling` via `SELECT *`.	TRUE	Whether a sibling section reports enrollment.	Never NULL
sample_section_us_intro_fall2025	view	50	has_enrollment_own_seats	boolean	master_section	Inherited `master_section.has_enrollment_own_seats` via `SELECT *`.	TRUE	Whether the section reports usable occupied seats.	Never NULL
sample_section_us_intro_fall2025	view	51	has_enrollment_sibling_seats	boolean	master_section	Inherited `master_section.has_enrollment_sibling_seats` via `SELECT *`.	TRUE	Whether a sibling section reports usable occupied seats.	Never NULL
sample_section_us_intro_fall2025	view	52	enrollment_assigned	integer	master_section	Inherited `master_section.enrollment_assigned` via `SELECT *`.	42	Best available section enrollment from the assignment ladder.	No rung; source is `none`
sample_section_us_intro_fall2025	view	53	enrollment_source	varchar	master_section	Inherited `master_section.enrollment_source` via `SELECT *`.	own	Assignment-ladder rung that supplied the section enrollment.	Never NULL; values `own`, `own_seats`, `sibling_enroll`, `sibling_seats`, `class_median`, `level_median`, `none`
sample_section_us_intro_fall2025	view	54	is_required_direct	boolean	master_section	Inherited `master_section.is_required_direct` via `SELECT *`.	TRUE	Whether direct required evidence is present at the relation grain.	False means no nonsupply literal-required item in the section
sample_section_us_intro_fall2025	view	55	required_price_min	decimal(38,2)	master_section	Inherited `master_section.required_price_min` via `SELECT *`.	12.34	Lower all-offer price bound for required materials.	No required item, or every required item price is NULL
sample_section_us_intro_fall2025	view	56	required_price_avg	double	master_section	Inherited `master_section.required_price_avg` via `SELECT *`.	12.34	Legacy-named midrange of required price bounds.	Either bound is NULL
sample_section_us_intro_fall2025	view	57	required_price_max	decimal(38,2)	master_section	Inherited `master_section.required_price_max` via `SELECT *`.	12.34	Upper all-offer price bound for required materials.	No required item, or every required item price is NULL
sample_section_us_intro_fall2025	view	58	required_price_buy_min	decimal(38,2)	master_section	Inherited `master_section.required_price_buy_min` via `SELECT *`.	12.34	Lower buy-only price bound for required materials.	No required item, or every required buy price is NULL
sample_section_us_intro_fall2025	view	59	required_price_buy_max	decimal(38,2)	master_section	Inherited `master_section.required_price_buy_max` via `SELECT *`.	12.34	Upper buy-only price bound for required materials.	No required item, or every required buy price is NULL
sample_section_us_intro_fall2025	view	60	all_price_min	decimal(38,2)	master_section	Inherited `master_section.all_price_min` via `SELECT *`.	12.34	Lower all-offer price bound for all-item materials.	Every item price is NULL
sample_section_us_intro_fall2025	view	61	all_price_avg	double	master_section	Inherited `master_section.all_price_avg` via `SELECT *`.	12.34	Legacy-named midrange of all-item price bounds.	Either bound is NULL
sample_section_us_intro_fall2025	view	62	all_price_max	decimal(38,2)	master_section	Inherited `master_section.all_price_max` via `SELECT *`.	12.34	Upper all-offer price bound for all-item materials.	Every item price is NULL
sample_section_us_intro_fall2025	view	63	all_price_buy_min	decimal(38,2)	master_section	Inherited `master_section.all_price_buy_min` via `SELECT *`.	12.34	Lower buy-only price bound for all-item materials.	Every item buy price is NULL
sample_section_us_intro_fall2025	view	64	all_price_buy_max	decimal(38,2)	master_section	Inherited `master_section.all_price_buy_max` via `SELECT *`.	12.34	Upper buy-only price bound for all-item materials.	Every item buy price is NULL
sample_section_us_intro_fall2025	view	65	required_priced_count	bigint	master_section	Inherited `master_section.required_priced_count` via `SELECT *`.	42	Required materials having at least one valid price.	Zero means none
sample_section_us_intro_fall2025	view	66	optional_priced_count	bigint	master_section	Inherited `master_section.optional_priced_count` via `SELECT *`.	42	Optional materials having at least one valid price.	Zero means none
sample_section_us_intro_fall2025	view	67	bookstore_url	varchar	master_section	Inherited `master_section.bookstore_url` via `SELECT *`.	https://bookstore.example.edu/item/123	Bookstore page providing the observed material prices.	No nonblank item URL
